run                                                                                        validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
beauty_mclsr_grid_01_bs256_Beauty_2026-09-13T14:25:54                                                       0.0429 @ 4352                     0.0374 @ 4352                     0.4259 @ 4352        9442
beauty_mclsr_grid_01_bs512_Beauty_2026-09-13T14:42:06                                                       0.0450 @ 3008                     0.0390 @ 3008                     0.4316 @ 3008        5703
beauty_mclsr_grid_01_nousermask_Beauty_2026-09-13T21:20:47                                                  0.0426 @ 4864                     0.0382 @ 4864                     0.4313 @ 4864       14909
beauty_mclsr_grid_01_orig_Beauty_2026-09-13T04:27:29                                                        0.0417 @ 4224                     0.0380 @ 4224                     0.4308 @ 4224       14909
beauty_mclsr_grid_01_orig_Beauty_confirm_seed1_2026-09-13T22:05:18                                          0.0434 @ 4160                                 -                                 -       15903
beauty_mclsr_grid_01_orig_Beauty_confirm_seed2_2026-09-13T22:11:44                                          0.0443 @ 5696                                 -                                 -       15903
beauty_mclsr_grid_01_orig_Beauty_confirm_seed3_2026-09-13T22:18:12                                          0.0430 @ 6464                                 -                                 -       16897
beauty_mclsr_grid_01_orig_det_Beauty_confirm_seed1_2026-09-14T03:38:42                                      0.0434 @ 4160                                 -                                 -       15903
beauty_mclsr_grid_01_orig_det_b_Beauty_confirm_seed1_2026-09-14T03:46:33                                    0.0434 @ 4160                                 -                                 -       15903
beauty_mclsr_grid_01_popular127_Beauty_2026-09-13T19:15:23                                                  0.0475 @ 4864                     0.0407 @ 4864                     0.4472 @ 4864       14909
beauty_mclsr_grid_01_uniform127_Beauty_2026-09-13T15:51:58                                                 0.0566 @ 14464                    0.0491 @ 14464                    0.4862 @ 14464       24849
beauty_mclsr_grid_01_uniform1280_Beauty_2026-09-13T16:23:28                                                0.0603 @ 14272                    0.0537 @ 14272                    0.4854 @ 14272       24849
beauty_mclsr_grid_02_logq_bs256_Beauty_2026-09-13T14:32:42                                                  0.0652 @ 8064                     0.0554 @ 8064                     0.4959 @ 8064       13418
beauty_mclsr_grid_02_logq_bs512_Beauty_2026-09-13T14:46:17                                                  0.0640 @ 4544                     0.0559 @ 4544                     0.5019 @ 4544        7191
beauty_mclsr_grid_02_logq_corrected_Beauty_2026-09-13T07:57:07                                             0.0622 @ 11648                    0.0554 @ 11648                    0.5007 @ 11648       21867
beauty_mclsr_grid_02_logq_corrected_Beauty_confirm_seed1_2026-09-14T03:01:38                               0.0633 @ 11072                                 -                                 -       21867
beauty_mclsr_grid_02_logq_corrected_Beauty_confirm_seed2_2026-09-14T03:10:57                                0.0635 @ 9792                                 -                                 -       19879
beauty_mclsr_grid_02_logq_corrected_Beauty_confirm_seed3_2026-09-14T03:19:20                                0.0634 @ 8192                                 -                                 -       20873
beauty_mclsr_grid_02_logq_downstream_Beauty_2026-09-13T04:37:09                                            0.0633 @ 11904                    0.0555 @ 11904                    0.5060 @ 11904       21867
beauty_mclsr_grid_02_logq_downstream_Beauty_confirm_seed1_2026-09-13T22:25:04                              0.0634 @ 13056                                 -                                 -       23855
beauty_mclsr_grid_02_logq_downstream_Beauty_confirm_seed2_2026-09-13T22:34:42                              0.0641 @ 11200                                 -                                 -       21867
beauty_mclsr_grid_02_logq_downstream_Beauty_confirm_seed3_2026-09-13T22:43:39                               0.0641 @ 9856                                 -                                 -       19879
beauty_mclsr_grid_02_logq_downstream_loo_Beauty_2026-09-13T12:28:34                                        0.0628 @ 11648                    0.0546 @ 11648                    0.4975 @ 11648       21867
