run                                                                               validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mclsr_grid_01_orig_Clothing_2026-06-14T04:02                                                                   -                                 -                                 -           -
mclsr_grid_01_orig_Clothing_2026-06-14T04:07                                                        0.0042 @ 256                      0.0039 @ 256                      0.0731 @ 256         320
mclsr_grid_01_orig_Clothing_2026-06-14T04:08                                                       0.0140 @ 2112                     0.0135 @ 2048                     0.2410 @ 2048        3072
mclsr_grid_01_orig_Clothing_2026-06-14T04:22                                                       0.0156 @ 5312                     0.0170 @ 5376                     0.2532 @ 5376        6144
mclsr_grid_01_orig_Clothing_2026-06-14T04:30                                                      0.0168 @ 10240                    0.0167 @ 10240                    0.2492 @ 10240       69183
mclsr_grid_01_orig_e64_Clothing_2026-09-13T22:50:40                                                0.0177 @ 9600                     0.0163 @ 9600                     0.2421 @ 9600       69183
mclsr_grid_01_orig_e64_Clothing_confirm_seed1_2026-09-14T18:49:49                                  0.0178 @ 8576                                 -                                 -       23551
mclsr_grid_01_orig_e64_Clothing_confirm_seed2_2026-09-14T19:03:53                                  0.0170 @ 6464                                 -                                 -       22079
mclsr_grid_01_orig_e64_Clothing_confirm_seed3_2026-09-14T19:16:55                                 0.0179 @ 10240                                 -                                 -       25023
mclsr_grid_02_cosine_t01_Clothing_2026-07-11T15:14                                                 0.0210 @ 4416                     0.0228 @ 4352                     0.3223 @ 4352       64767
mclsr_grid_02_cosine_t05_Clothing_2026-07-11T16:34                                                 0.0169 @ 1152                     0.0159 @ 1024                     0.2586 @ 1024       60351
mclsr_grid_02_cosine_t1_Clothing_2026-07-11T22:57                                                  0.0161 @ 1088                     0.0152 @ 1024                     0.2579 @ 1024       60351
mclsr_grid_02_logq_downstream_Clothing_2026-06-14T12:03                                            0.0245 @ 9536                     0.0230 @ 9472                     0.3113 @ 9472       69183
mclsr_grid_02_logq_downstream_e64_Clothing_confirm_seed1_2026-09-14T19:31:51                      0.0237 @ 11136                                 -                                 -       26495
mclsr_grid_02_logq_downstream_e64_Clothing_confirm_seed2_2026-09-14T19:47:19                      0.0247 @ 13184                                 -                                 -       27967
mclsr_grid_02_logq_downstream_e64_Clothing_confirm_seed3_2026-09-14T20:04:13                      0.0263 @ 11520                                 -                                 -       26495
mclsr_grid_02_logq_downstream_loo_Clothing_2026-07-07T22:07                                        0.0253 @ 9344                     0.0223 @ 9216                     0.3128 @ 9216       57984
mclsr_grid_02_logq_targetq_2026-07-18T20:39:41                                                    0.0249 @ 12672                    0.0229 @ 12544                    0.3110 @ 12544       72127
mclsr_grid_03_graph_Clothing_2026-06-14T13:40                                                     0.0276 @ 28288                    0.0272 @ 28160                    0.3593 @ 28160       88319
mclsr_grid_03_graph_Clothing_2026-06-23T23:07                                                     0.0276 @ 28288                    0.0272 @ 28160                    0.3593 @ 28160       88319
mclsr_grid_03_graph_bxb_Clothing_2026-07-11T15:14                                                 0.0283 @ 33088                    0.0251 @ 33024                    0.3499 @ 33024       92735
mclsr_grid_03_graph_bxb_w05_Clothing_2026-07-14T23:08:26                                          0.0286 @ 26816                    0.0285 @ 26880                    0.3499 @ 26880       86847
mclsr_grid_03_graph_cosine_Clothing_2026-07-08T21:03                                              0.0281 @ 13248                    0.0275 @ 13312                    0.3544 @ 13312       73599
mclsr_grid_03_graph_cosine_t01_2026-07-19T14:25:03                                                0.0268 @ 16000                    0.0255 @ 15872                    0.3457 @ 15872       75071
mclsr_grid_03_graph_cosine_t02_2026-07-19T07:46:57                                                0.0286 @ 15808                    0.0254 @ 15872                    0.3508 @ 15872       75071
mclsr_grid_03_graph_cosine_t1_2026-07-19T16:22:03                                                  0.0278 @ 9216                     0.0254 @ 9216                     0.3324 @ 9216       69183
mclsr_grid_03_graph_e64_Clothing_confirm_seed1_2026-09-14T20:20:35                                0.0290 @ 24960                                 -                                 -       42687
mclsr_grid_03_graph_e64_Clothing_confirm_seed2_2026-09-14T20:54:28                                0.0286 @ 26176                                 -                                 -       41215
mclsr_grid_03_graph_e64_Clothing_confirm_seed3_2026-09-14T21:26:37                                0.0273 @ 23424                                 -                                 -       44159
mclsr_grid_03_graph_euclid_2026-07-19T07:34:17                                                       0.0014 @ 64                        0.0003 @ 0                        0.0415 @ 0         106
mclsr_grid_03_graph_euclid_2026-07-19T12:09:53                                                    0.0275 @ 25024                    0.0246 @ 25088                    0.3554 @ 25088       85375
mclsr_grid_03_graph_euclid_t1_2026-07-19T16:54:02                                                 0.0290 @ 25984                    0.0264 @ 25856                    0.3593 @ 25856       85375
mclsr_grid_03_graph_paper_faithful_2026-07-18T20:30:39                                            0.0264 @ 13888                    0.0250 @ 13824                    0.3217 @ 13824       73599
