run                                                                     validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sasrec_Clothing_irec_compar                                                             0.0153 @ 40960                    0.0112 @ 40960                                 -       48000
sasrec_baseline_Clothing_2026-06-14T05:56                                               0.0138 @ 14592                    0.0108 @ 14592                                 -       24599
sasrec_inbatch_l00_Clothing_2026-06-16T18:44                                             0.0110 @ 1024                     0.0085 @ 1024                                 -       11069
sasrec_inbatch_l00_e64_Clothing_confirm_seed1_2026-09-15T00:52:09                        0.0111 @ 1024                                 -                                 -        5411
sasrec_inbatch_l00_e64_Clothing_confirm_seed2_2026-09-15T00:56:02                         0.0115 @ 768                                 -                                 -        7871
sasrec_inbatch_l00_e64_Clothing_confirm_seed3_2026-09-15T01:01:34                        0.0118 @ 1024                                 -                                 -        8609
sasrec_inbatch_logq_Clothing_2026-06-16T19:46                                            0.0208 @ 3136                     0.0155 @ 3072                                 -       13037
sasrec_inbatch_logq_e64_Clothing_confirm_seed1_2026-09-15T01:07:42                       0.0201 @ 2688                                 -                                 -        5165
sasrec_inbatch_logq_e64_Clothing_confirm_seed2_2026-09-15T01:11:21                       0.0201 @ 1408                                 -                                 -        4427
sasrec_inbatch_logq_e64_Clothing_confirm_seed3_2026-09-15T01:14:34                       0.0214 @ 1472                                 -                                 -        3935
